Titre,Prix,Fabricant,Carrosserie,Energie,Puissance fiscale,Boite,Transmission,Kilometrage,Annee,Inserée le,Model
Audi S3,128000,Audi,Citadine,Essence,19,Automatique,Traction,120000,06.2014,26.02.2024,S3
Mahindra Scorpio Pick-up DC,32000,Mahindra,Pick up,Diesel,7,Manuelle,Traction,85000,11.2020,26.02.2024,Scorpio Pick-up DC
Fiat Doblo,56000,Fiat,Monospace,Essence,6,Manuelle,Traction,32000,07.2021,26.02.2024,Doblo
Ford Fusion,45000,Ford,Berline,Essence,9,Manuelle,Traction,200000,11.2015,26.02.2024,Fusion
MG GS AWD 2.0,61000,MG,SUV/4x4,Essence,13,Automatique,Traction,100000,06.2017,26.02.2024,GS AWD 2.0
BMW Série 7 Individuel,45000,BMW,Berline,Essence,22,Automatique,Traction,300000,01.2008,26.02.2024,Série 7 Individuel
Mercedes-Benz GLC Coupé 200 hybrid,450000,Mercedes,SUV/4x4,Hybride essence,11,Automatique,Intégrale,0,01.2024,26.02.2024,-Benz GLC Coupé 200 hybrid
Geely GC6,35000,Geely,Berline,Essence,6,Manuelle,Traction,49000,09.2020,26.02.2024,GC6
Porsche Cayenne GTS,326000,Porsche,SUV/4x4,Essence,33,Automatique,Intégrale,79000,08.2016,26.02.2024,Cayenne GTS
Dongfeng S50,44000,Dongfeng,Berline,Essence,6,Manuelle,Traction,91000,10.2019,26.02.2024,S50
Mercedes-Benz Classe S S350. Toit ouvrant,98000,Mercedes,Berline,Essence,19,Automatique,Traction,147000,01.2009,26.02.2024,-Benz Classe S S350. Toit ouvrant
Mercedes-Benz GLC Coupé 300e,248000,Mercedes,SUV/4x4,Hybride rechargeable essence,10,Automatique,Intégrale,32000,09.2021,26.02.2024,-Benz GLC Coupé 300e
Volkswagen Golf 7 Highline,76000,Volkswagen,Compacte,Essence,6,Automatique,Automatique,125800,12.2018,26.02.2024,Golf 7 Highline
Volkswagen Golf 7,59900,Volkswagen,Citadine,Essence,6,Automatique,Traction,170000,04.2019,26.02.2024,Golf 7
Ford Figo,23000,Ford,Citadine,Essence,5,Manuelle,Traction,152000,03.2014,26.02.2024,Figo
Land Rover Discovery,132000,Land Rover,SUV/4x4,Diesel,11,Automatique,Traction,108000,08.2015,26.02.2024,Discovery
Fiat Doblo,31000,Fiat,Utilitaire,Diesel,5,Manuelle,Intégrale,99000,12.2019,26.02.2024,Doblo
Nissan Juke Nouveau modèle,74000,Nissan,SUV/4x4,Essence,6,Manuelle,Traction,60000,05.2021,26.02.2024,Juke Nouveau modèle
Land Rover Range Rover Evoque R DYNAMIC S,199000,Land Rover,SUV/4x4,Essence,12,Automatique,Intégrale,77000,05.2020,26.02.2024,Range Rover Evoque R DYNAMIC S
Fiat Fiorino,39000,Fiat,Utilitaire,Diesel,5,Manuelle,Propulsion,26500,03.2022,26.02.2024,Fiorino
Mercedes-Benz Classe E,36000,Mercedes,Berline,Essence,10,Automatique,Traction,276000,12.2003,26.02.2024,-Benz Classe E
Volkswagen Jetta,34000,Volkswagen,Berline,Diesel,6,Manuelle,Traction,349000,03.2010,26.02.2024,Jetta
Mercedes-Benz Classe C KIT AMG,175600,Mercedes,Berline,Essence,8,Automatique,Traction,128000,06.2019,26.02.2024,-Benz Classe C KIT AMG
Mercedes-Benz Classe A 250e,165000,Mercedes,Utilitaire,Hybride rechargeable essence,6,Automatique,Traction,50000,01.2021,26.02.2024,-Benz Classe A 250e
Mercedes-Benz Classe C,98000,Mercedes,Citadine,Essence,8,Automatique,Propulsion,123000,11.2016,26.02.2024,-Benz Classe C
Mahindra KUV 100,35900,Mahindra,SUV/4x4,Essence,5,Manuelle,Traction,26000,01.2022,26.02.2024,KUV 100
Volkswagen Golf 8 conforline,116500,Volkswagen,Berline,Essence,8,Manuelle,Traction,47000,08.2020,26.02.2024,Golf 8 conforline
Land Rover Discovery Sport,118000,Land Rover,SUV/4x4,Diesel,8,Automatique,Traction,94000,10.2016,26.02.2024,Discovery Sport
Renault Megane,74500,Renault,Citadine,Essence,7,Automatique,Traction,46000,01.2021,26.02.2024,Megane
Citroën C3,35900,Citroën,Citadine,Essence,4,Manuelle,Traction,55000,06.2020,26.02.2024,C3
Skoda Octavia,124000,Skoda,Berline,Essence,8,Automatique,Traction,21000,02.2022,26.02.2024,Octavia
KIA Sportage,87000,KIA,SUV/4x4,Essence,8,Automatique,Traction,53000,05.2018,26.02.2024,Sportage
KIA Sportage,95000,KIA,SUV/4x4,Essence,8,Automatique,Traction,65000,09.2019,26.02.2024,Sportage
Porsche Cayenne GTS 4.8 cm3 33 cv,98000,Porsche,SUV/4x4,Essence,33,Automatique,Traction,148000,01.2009,26.02.2024,Cayenne GTS 4.8 cm3 33 cv
Citroën Berlingo Multispace,53000,Citroën,Monospace,Essence,7,Manuelle,Traction,145000,07.2018,26.02.2024,Berlingo Multispace
Audi A3,142000,Audi,Citadine,Hybride essence,8,Automatique,Traction,1000,11.2023,26.02.2024,A3
Peugeot 3008,80000,Peugeot,SUV/4x4,Essence,7,Automatique,Traction,169000,05.2020,26.02.2024,3008
Volkswagen Passat,85000,Volkswagen,Berline,Diesel,6,Automatique,Traction,122000,03.2019,26.02.2024,Passat
Cupra Formentor Hight-grade   2L,166500,Cupra,Pick up,Essence,11,Automatique,Propulsion,31000,06.2022,26.02.2024,Formentor Hight-grade   2L
BMW Série 5 LUXYRY LINE,168000,BMW,Berline,Essence,10,Automatique,Traction,46000,04.2018,26.02.2024,Série 5 LUXYRY LINE
Volkswagen Passat,34500,Volkswagen,Berline,Diesel,6,Manuelle,Traction,330000,09.2008,26.02.2024,Passat
Haval H6,77000,Haval,SUV/4x4,Essence,9,Automatique,Traction,120000,12.2020,26.02.2024,H6
Peugeot 3008,85000,Peugeot,Citadine,Essence,9,Automatique,Traction,60000,11.2017,26.02.2024,3008
Hyundai Grand i10,39500,Hyundai,Citadine,Essence,5,Automatique,Traction,73000,10.2018,26.02.2024,Grand i10
Mercedes-Benz GLA KIT AMG,212000,Mercedes,SUV/4x4,Essence,9,Automatique,Traction,19000,09.2021,26.02.2024,-Benz GLA KIT AMG
MG GT,36500,MG,Berline,Essence,6,Manuelle,Traction,191000,12.2017,26.02.2024,GT
Jaguar E-Pace R-DYNAMIC,275000,Jaguar,Compacte,Essence,12,Automatique,Traction,30000,08.2021,26.02.2024,E-Pace R-DYNAMIC
Ford Fiesta,27900,Ford,Citadine,Essence,5,Manuelle,Traction,184000,03.2011,26.02.2024,Fiesta
Porsche Cayenne V6 PACK NIGHT 3.6L,159000,Porsche,SUV/4x4,Essence,21,Automatique,Traction,198000,08.2012,26.02.2024,Cayenne V6 PACK NIGHT 3.6L
Volkswagen Golf 6,39900,Volkswagen,Citadine,Essence,5,Manuelle,Traction,168000,03.2012,26.02.2024,Golf 6
KIA Rio 5p GT Line,65500,KIA,Compacte,Essence,5,Manuelle,Intégrale,17000,01.2021,16.02.2024,Rio 5p GT Line
BMW Série 7 740I FACE-LIFT,55000,BMW,Berline,Essence,22,Automatique,Traction,220000,01.2008,26.02.2024,Série 7 740I FACE-LIFT
Ford Ecosport Titanium +,74000,Ford,SUV/4x4,Essence,7,Automatique,Traction,22000,06.2021,16.02.2024,Ecosport Titanium +
BMW Série 2 Active Tourer Pack M,82000,BMW,Monospace,Essence,7,Automatique,Intégrale,140000,09.2015,16.02.2024,Série 2 Active Tourer Pack M
Chevrolet Captiva AWD 7 places,73000,Chevrolet,SUV/4x4,Diesel,10,Automatique,Intégrale,160000,06.2016,16.02.2024,Captiva AWD 7 places
Suzuki Dzire,38500,Suzuki,Berline,Essence,5,Manuelle,Traction,114000,01.2021,26.02.2024,Dzire
Volkswagen Passat,34000,Volkswagen,Berline,Diesel,6,Manuelle,Traction,268000,03.2009,26.02.2024,Passat
Toyota Prado,195000,Toyota,SUV/4x4,Essence,11,Manuelle,Traction,50000,02.2014,26.02.2024,Prado
Mercedes-Benz CLA Buisness,93000,Mercedes,Berline,Essence,7,Automatique,Traction,100000,10.2016,16.02.2024,-Benz CLA Buisness
BMW Série 4 Coupé,110000,BMW,Coupé,Essence,7,Automatique,Traction,78000,03.2017,26.02.2024,Série 4 Coupé
Mercedes-Benz CLA,155000,Mercedes,Berline,Essence,7,Automatique,Traction,59000,12.2019,26.02.2024,-Benz CLA
BMW Série 3,85000,BMW,Berline,Essence,7,Automatique,Traction,152000,05.2016,26.02.2024,Série 3
Mercedes-Benz Classe S KIT AMG  jantes 20’’,125500,Mercedes,Berline,Essence,18,Automatique,Traction,165000,04.2010,26.02.2024,-Benz Classe S KIT AMG  jantes 20’’
Nissan Juke,42000,Nissan,SUV/4x4,Essence,7,Manuelle,Traction,160000,06.2014,26.02.2024,Juke
Mercedes-Benz GLC Coupé GLC 200 COUPE,440000,Mercedes,SUV/4x4,Hybride essence,11,Automatique,Intégrale,0,09.2023,26.02.2024,-Benz GLC Coupé GLC 200 COUPE
Porsche Cayenne Coupé,445000,Porsche,SUV/4x4,Essence,25,Automatique,Intégrale,67000,02.2020,26.02.2024,Cayenne Coupé
BMW Série 1 Sport line,118000,BMW,Compacte,Essence,8,Automatique,Propulsion,80000,03.2020,26.02.2024,Série 1 Sport line
BMW X1,88000,BMW,SUV/4x4,Essence,7,Automatique,Traction,110000,04.2016,26.02.2024,X1
Seat Leon,70000,Seat,Citadine,Essence,6,Manuelle,Traction,66000,09.2020,26.02.2024,Leon
Land Rover Range Rover Evoque,115000,Land Rover,SUV/4x4,Essence,15,Automatique,Traction,138000,04.2016,26.02.2024,Range Rover Evoque
Volkswagen Golf 8,99900,Volkswagen,Citadine,Essence,6,Manuelle,Traction,40000,07.2021,26.02.2024,Golf 8
Volkswagen Golf 7,64000,Volkswagen,Citadine,Essence,6,Manuelle,Traction,142000,05.2018,26.02.2024,Golf 7
Land Rover Range Rover Sport,245000,Land Rover,SUV/4x4,Diesel,15,Automatique,Traction,160000,08.2014,26.02.2024,Range Rover Sport
Audi Q5,98000,Audi,SUV/4x4,Diesel,10,Automatique,Traction,164000,07.2014,26.02.2024,Q5
BMW Série 4 Gran Coupé Luxury,130000,BMW,Berline,Essence,7,Automatique,Traction,140000,10.2019,16.02.2024,Série 4 Gran Coupé Luxury
Mercedes-Benz CLA KIT AMG,128000,Mercedes,Berline,Essence,6,Automatique,Traction,21000,08.2018,26.02.2024,-Benz CLA KIT AMG
Mercedes-Benz Classe E,46900,Mercedes,Berline,Essence,10,Automatique,Traction,128000,07.2004,26.02.2024,-Benz Classe E
Audi A5 Sportback,185000,Audi,Citadine,Essence,8,Automatique,Traction,70000,01.2021,26.02.2024,A5 Sportback
KIA Rio Berline,76900,KIA,Berline,Essence,6,Manuelle,Traction,1000,11.2023,26.02.2024,Rio Berline
Audi A6,34500,Audi,Berline,Essence,11,Automatique,Traction,203000,08.2008,26.02.2024,A6
KIA Rio 5p,62900,KIA,Citadine,Essence,5,Manuelle,Traction,31000,10.2021,26.02.2024,Rio 5p
Volkswagen Amarok AWD,87000,Volkswagen,SUV/4x4,Diesel,7,Manuelle,Intégrale,180000,07.2016,26.02.2024,Amarok AWD
Peugeot RCZ,40000,Peugeot,Citadine,Essence,7,Manuelle,Traction,171000,04.2011,26.02.2024,RCZ
Renault Clio,26000,Renault,Citadine,Diesel,5,Manuelle,Traction,167000,08.2010,26.02.2024,Clio
Ssangyong Tivoli,68000,Ssangyong,SUV/4x4,Essence,7,Manuelle,Traction,115000,03.2020,26.02.2024,Tivoli
Seat Leon,53500,Seat,Citadine,Essence,5,Manuelle,Traction,152000,05.2016,26.02.2024,Leon
Volkswagen Golf 7 R Line,83000,Volkswagen,Compacte,Essence,6,Manuelle,Traction,40000,09.2017,16.02.2024,Golf 7 R Line
Volkswagen Golf 7 Highline bva,86000,Volkswagen,Citadine,Diesel,6,Automatique,Automatique,158000,10.2019,26.02.2024,Golf 7 Highline bva
KIA Sportage,120000,KIA,Citadine,Diesel,10,Automatique,Traction,132000,01.2018,26.02.2024,Sportage
Mercedes-Benz Classe E,68000,Mercedes,Berline,Diesel,10,Automatique,Traction,189000,12.2010,26.02.2024,-Benz Classe E
KIA Rio 5p,55000,KIA,Citadine,Essence,5,Manuelle,Traction,77000,07.2020,26.02.2024,Rio 5p
Land Rover Range Rover Evoque R dynamic SE,358000,Land Rover,SUV/4x4,Diesel,9,Automatique,Traction,0,02.2024,26.02.2024,Range Rover Evoque R dynamic SE
Volkswagen Golf 8 6,95000,Volkswagen,Compacte,Essence,6,Manuelle,Manuelle,38000,09.2021,26.02.2024,Golf 8 6
Isuzu D-Max Double Cabine,128000,Isuzu,Pick up,Diesel,8,Manuelle,Traction,119000,06.2017,26.02.2024,D-Max Double Cabine
Skoda Octavia,52000,Skoda,Berline,Essence,7,Automatique,Traction,157000,01.2016,26.02.2024,Octavia
BMW Série 3,80000,BMW,Berline,Essence,7,Automatique,Traction,167000,01.2016,26.02.2024,Série 3
Seat Leon 1.2,51500,Seat,Coupé,Essence,6,Manuelle,Traction,111000,12.2018,16.02.2024,Leon 1.2
Land Rover Range Rover Sport HSE DYNAMIC,748000,Land Rover,SUV/4x4,Hybride rechargeable essence,28,Automatique,Traction,0,02.2024,26.02.2024,Range Rover Sport HSE DYNAMIC
Mercedes-Benz Classe A Kit AMG,78000,Mercedes,Citadine,Essence,6,Automatique,Traction,72000,07.2013,26.02.2024,-Benz Classe A Kit AMG
Porsche Cayenne V6,78000,Porsche,SUV/4x4,Essence,21,Automatique,Intégrale,160000,06.2007,16.02.2024,Cayenne V6
Volkswagen Golf 8,125000,Volkswagen,Citadine,Hybride essence,8,Automatique,Traction,28000,07.2020,26.02.2024,Golf 8
Seat Leon,49000,Seat,Citadine,Essence,6,Manuelle,Traction,187000,05.2016,26.02.2024,Leon
Volkswagen Passat,68000,Volkswagen,Berline,Essence,7,Manuelle,Traction,155000,01.2019,26.02.2024,Passat
